gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary
IL1R1,7,B,2,,317.3,YES,13,"THERAPEUTIC CORTICOSTEROID, ANAKINRA, EPOETIN ALFA",,,,0,,"Overexpressed (317 TPM, p99) | Surface protein (HPA) | Druggable (13 drugs)"
INSR,7,B,2,,277.9,YES,71,"TESOFENSINE, INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN, GO-6976",,,,0,,"Overexpressed (278 TPM, p99) | Surface protein (HPA) | Druggable (71 drugs)"
ITGA2,7,B,2,,277.7,YES,2,"E-7820, VATELIZUMAB",,,,0,,"Overexpressed (278 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
ITGB5,7,B,2,,353.3,YES,4,"CILENGITIDE, INTETUMUMAB, ABITUZUMAB",,,,0,,"Overexpressed (353 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)"
JAG1,7,B,2,,232.1,YES,3,"MARALIXIBAT, ODEVIXIBAT, HYDROCORTISONE BUTYRATE",,,,0,,"Overexpressed (232 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
KCNJ2,7,B,2,,185.5,YES,1,DRONEDARONE HYDROCHLORIDE,,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
KCNK2,7,B,2,,182.5,YES,6,"SEVOFLURANE, ISOFLURANE, ENFLURANE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (6 drugs)"
KLF9,7,B,2,,772.1,YES,1,HG2+,,,,0,,"Overexpressed (772 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
KMT2E,7,B,2,,312.3,YES,1,DULOXETINE HYDROCHLORIDE,,,,0,,"Overexpressed (312 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
LAMA4,7,B,2,,491.8,YES,1,OCRIPLASMIN,,,,0,,"Overexpressed (492 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
