gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
RAPGEF1,2,D,1,,166.3,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
RARS1,2,D,1,,285.6,,0,,,,,0,,"Overexpressed (286 TPM, p99)",Low tissue specificity,True
RASA1,2,D,1,,250.4,,0,,,,,0,,"Overexpressed (250 TPM, p99)",Tissue enhanced,False
RASSF8,2,D,1,,212.0,,0,,,,,0,,"Overexpressed (212 TPM, p99)",Tissue enhanced,False
RB1CC1,2,D,1,,225.6,,0,,,,,0,,"Overexpressed (226 TPM, p99)",Low tissue specificity,True
RBM12,2,D,1,,168.1,,0,,,,,0,,"Overexpressed (168 TPM, p98)",Low tissue specificity,True
RBM25,2,D,1,,199.2,,0,,,,,0,,"Overexpressed (199 TPM, p99)",Low tissue specificity,True
RBM3,2,D,1,,375.4,,0,,,,,0,,"Overexpressed (375 TPM, p100)",Low tissue specificity,True
RBM33,2,D,1,,161.9,,0,,,,,0,,"Overexpressed (162 TPM, p98)",Low tissue specificity,True
RBM39,2,D,1,,206.2,,0,,,,,0,,"Overexpressed (206 TPM, p99)",Tissue enhanced,False
RBM6,2,D,1,,250.8,,0,,,,,0,,"Overexpressed (251 TPM, p99)",Low tissue specificity,True
RC3H2,2,D,1,,179.2,,0,,,,,0,,"Overexpressed (179 TPM, p99)",Low tissue specificity,True
RECQL4,2,D,1,,8.1,,0,,,,"oncogene, TSG",0,YES,"Expressed (8 TPM) | COSMIC (oncogene, TSG) | Known Osteosarcoma driver",Tissue enhanced,False
RESF1,2,D,1,,180.7,,0,,,,,0,,"Overexpressed (181 TPM, p99)",Tissue enhanced,False
REV3L,2,D,1,,159.3,,0,,,,,0,,"Overexpressed (159 TPM, p98)",Tissue enhanced,False
RFC1,2,D,1,,189.0,,0,,,,,0,,"Overexpressed (189 TPM, p99)",Low tissue specificity,True
RGCC,2,D,1,,221.7,,0,,,,,0,,"Overexpressed (222 TPM, p99)",Tissue enhanced,False
RGL1,2,D,1,,322.1,,0,,,,,0,,"Overexpressed (322 TPM, p99)",Low tissue specificity,True
RGS1,2,D,1,,165.4,,0,,,,,0,,"Overexpressed (165 TPM, p98)",Tissue enhanced,False
RGS10,2,D,1,,208.2,,0,,,,,0,,"Overexpressed (208 TPM, p99)",Tissue enhanced,False
RGS2,2,D,1,,347.6,,0,,,,,0,,"Overexpressed (348 TPM, p100)",Low tissue specificity,True
RGS5,2,D,1,,625.6,,0,,,,,0,,"Overexpressed (626 TPM, p100)",Tissue enriched,False
RHEB,2,D,1,,182.6,,0,,,,,0,,"Overexpressed (183 TPM, p99)",Low tissue specificity,True
RHOB,2,D,1,,1037.5,,0,,,,,0,,"Overexpressed (1038 TPM, p100)",Tissue enhanced,False
RHOBTB1,2,D,1,,256.1,,0,,,,,0,,"Overexpressed (256 TPM, p99)",Tissue enhanced,False
RHOBTB3,2,D,1,,544.1,,0,,,,,0,,"Overexpressed (544 TPM, p100)",Low tissue specificity,True
RIMKLB,2,D,1,,185.3,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
RIMOC1,2,D,1,,239.7,,0,,,,,0,,"Overexpressed (240 TPM, p99)",Low tissue specificity,True
RING1,2,D,1,,184.6,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
RIOK1,2,D,1,,168.9,,0,,,,,0,,"Overexpressed (169 TPM, p98)",Low tissue specificity,True
RIT1,2,D,1,,358.5,,0,,,,,0,,"Overexpressed (358 TPM, p100)",Low tissue specificity,True
RMND5A,2,D,1,,176.5,,0,,,,,0,,"Overexpressed (176 TPM, p99)",Low tissue specificity,True
RN7SL1,2,D,1,,1803.4,,0,,,,,0,,"Overexpressed (1803 TPM, p100)",,False
RNASE1,2,D,1,,1005.5,,0,,,,,0,,"Overexpressed (1006 TPM, p100)",Tissue enriched,False
RNF11,2,D,1,,166.9,,0,,,,,0,,"Overexpressed (167 TPM, p98)",Low tissue specificity,True
RNF157,2,D,1,YES,5.8,,0,,,,,0,,Mutated (MODERATE) | Expressed (6 TPM),Tissue enhanced,False
RNF2,2,D,1,,166.4,,0,,,,,0,,"Overexpressed (166 TPM, p98)",Low tissue specificity,True
RO60,2,D,1,,188.2,,0,,,,,0,,"Overexpressed (188 TPM, p99)",Low tissue specificity,True
ROCK2,2,D,1,,187.4,,0,,,,,0,,"Overexpressed (187 TPM, p99)",Low tissue specificity,True
RP1L1,2,D,1,YES,1.2,,0,,,,,0,,Mutated (MODERATE) | Expressed (1 TPM),Tissue enriched,False
RPL10,2,D,1,,206.9,,0,,,,,0,,"Overexpressed (207 TPM, p99)",Low tissue specificity,True
RPL10A,2,D,1,,890.6,,0,,,,,0,,"Overexpressed (891 TPM, p100)",Low tissue specificity,True
RPL11,2,D,1,,1804.7,,0,,,,,0,,"Overexpressed (1805 TPM, p100)",Low tissue specificity,True
RPL12,2,D,1,,331.9,,0,,,,,0,,"Overexpressed (332 TPM, p99)",Low tissue specificity,True
RPL15,2,D,1,,339.1,,0,,,,,0,,"Overexpressed (339 TPM, p99)",Low tissue specificity,True
RPL21,2,D,1,,328.6,,0,,,,,0,,"Overexpressed (329 TPM, p99)",Low tissue specificity,True
RPL22L1,2,D,1,,210.8,,0,,,,,0,,"Overexpressed (211 TPM, p99)",Low tissue specificity,True
RPL23,2,D,1,,530.4,,0,,,,,0,,"Overexpressed (530 TPM, p100)",Low tissue specificity,True
RPL24,2,D,1,,333.0,,0,,,,,0,,"Overexpressed (333 TPM, p99)",Low tissue specificity,True
RPL27,2,D,1,,252.5,,0,,,,,0,,"Overexpressed (252 TPM, p99)",Low tissue specificity,True
RPL27A,2,D,1,,310.2,,0,,,,,0,,"Overexpressed (310 TPM, p99)",Low tissue specificity,True
RPL29,2,D,1,,592.6,,0,,,,,0,,"Overexpressed (593 TPM, p100)",Low tissue specificity,True
RPL3,2,D,1,,504.5,,0,,,,,0,,"Overexpressed (505 TPM, p100)",Low tissue specificity,True
RPL30,2,D,1,,260.4,,0,,,,,0,,"Overexpressed (260 TPM, p99)",Low tissue specificity,True
RPL32,2,D,1,,723.9,,0,,,,,0,,"Overexpressed (724 TPM, p100)",Low tissue specificity,True
RPL35,2,D,1,,489.7,,0,,,,,0,,"Overexpressed (490 TPM, p100)",Low tissue specificity,True
RPL35A,2,D,1,,185.0,,0,,,,,0,,"Overexpressed (185 TPM, p99)",Low tissue specificity,True
RPL36,2,D,1,,266.7,,0,,,,,0,,"Overexpressed (267 TPM, p99)",Low tissue specificity,True
RPL37,2,D,1,,269.3,,0,,,,,0,,"Overexpressed (269 TPM, p99)",Low tissue specificity,True
RPL38,2,D,1,,188.7,,0,,,,,0,,"Overexpressed (189 TPM, p99)",Low tissue specificity,True
RPL4,2,D,1,,691.3,,0,,,,,0,,"Overexpressed (691 TPM, p100)",Low tissue specificity,True
RPL41,2,D,1,,205.2,,0,,,,,0,,"Overexpressed (205 TPM, p99)",Low tissue specificity,True
RPL5,2,D,1,,584.9,,0,,,,,0,,"Overexpressed (585 TPM, p100)",Low tissue specificity,True
RPL6,2,D,1,,248.5,,0,,,,,0,,"Overexpressed (248 TPM, p99)",Low tissue specificity,True
RPL7,2,D,1,,739.7,,0,,,,,0,,"Overexpressed (740 TPM, p100)",Low tissue specificity,True
RPL7A,2,D,1,,511.6,,0,,,,,0,,"Overexpressed (512 TPM, p100)",Low tissue specificity,True
RPL8,2,D,1,,1930.3,,0,,,,,0,,"Overexpressed (1930 TPM, p100)",Low tissue specificity,True
RPLP0,2,D,1,,378.7,,0,,,,,0,,"Overexpressed (379 TPM, p100)",Low tissue specificity,True
RPS11,2,D,1,,1260.3,,0,,,,,0,,"Overexpressed (1260 TPM, p100)",Low tissue specificity,True
RPS12,2,D,1,,340.5,,0,,,,,0,,"Overexpressed (340 TPM, p99)",Low tissue specificity,True
RPS15,2,D,1,,356.2,,0,,,,,0,,"Overexpressed (356 TPM, p100)",Low tissue specificity,True
RPS16,2,D,1,,358.2,,0,,,,,0,,"Overexpressed (358 TPM, p100)",Low tissue specificity,True
RPS18,2,D,1,,246.0,,0,,,,,0,,"Overexpressed (246 TPM, p99)",Low tissue specificity,True
RPS2,2,D,1,,347.5,,0,,,,,0,,"Overexpressed (347 TPM, p100)",Low tissue specificity,True
RPS20,2,D,1,,159.7,,0,,,,,0,,"Overexpressed (160 TPM, p98)",Low tissue specificity,True
RPS21,2,D,1,,435.1,,0,,,,,0,,"Overexpressed (435 TPM, p100)",Low tissue specificity,True
RPS23,2,D,1,,350.8,,0,,,,,0,,"Overexpressed (351 TPM, p100)",Low tissue specificity,True
RPS24,2,D,1,,567.8,,0,,,,,0,,"Overexpressed (568 TPM, p100)",Low tissue specificity,True
RPS25,2,D,1,,1649.5,,0,,,,,0,,"Overexpressed (1650 TPM, p100)",Low tissue specificity,True
RPS27,2,D,1,,215.8,,0,,,,,0,,"Overexpressed (216 TPM, p99)",Low tissue specificity,True
RPS27A,2,D,1,,254.5,,0,,,,,0,,"Overexpressed (255 TPM, p99)",Low tissue specificity,True
RPS3,2,D,1,,293.1,,0,,,,,0,,"Overexpressed (293 TPM, p99)",Low tissue specificity,True
RPS3A,2,D,1,,357.5,,0,,,,,0,,"Overexpressed (357 TPM, p100)",Low tissue specificity,True
RPS4X,2,D,1,,1285.7,,0,,,,,0,,"Overexpressed (1286 TPM, p100)",Low tissue specificity,True
RPS4Y1,2,D,1,,587.8,,0,,,,,0,,"Overexpressed (588 TPM, p100)",Low tissue specificity,False
RPS6,2,D,1,,1468.7,,0,,,,,0,,"Overexpressed (1469 TPM, p100)",Low tissue specificity,True
RPS7,2,D,1,,158.6,,0,,,,,0,,"Overexpressed (159 TPM, p98)",Low tissue specificity,True
RPS8,2,D,1,,282.1,,0,,,,,0,,"Overexpressed (282 TPM, p99)",Low tissue specificity,True
RRAGB,2,D,1,,170.7,,0,,,,,0,,"Overexpressed (171 TPM, p98)",Low tissue specificity,True
RSL1D1,2,D,1,,272.0,,0,,,,,0,,"Overexpressed (272 TPM, p99)",Low tissue specificity,True
RSRC2,2,D,1,,161.0,,0,,,,,0,,"Overexpressed (161 TPM, p98)",Tissue enhanced,False
S100A11,2,D,1,,512.1,,0,,,,,0,,"Overexpressed (512 TPM, p100)",Tissue enhanced,False
SAMD9,2,D,1,,274.1,,0,,,,,0,,"Overexpressed (274 TPM, p99)",Tissue enhanced,False
SAMD9L,2,D,1,,161.9,,0,,,,,0,,"Overexpressed (162 TPM, p98)",Tissue enhanced,False
SAR1A,2,D,1,,243.0,,0,,,,,0,,"Overexpressed (243 TPM, p99)",Low tissue specificity,True
SASH1,2,D,1,,285.4,,0,,,,,0,,"Overexpressed (285 TPM, p99)",Low tissue specificity,False
SAT1,2,D,1,,315.1,,0,,,,,0,,"Overexpressed (315 TPM, p99)",Low tissue specificity,True
SATB2,2,D,1,,327.4,,0,,,,,0,,"Overexpressed (327 TPM, p99)",Group enriched,False
SBDS,2,D,1,,334.1,,0,,,,,0,,"Overexpressed (334 TPM, p99)",Low tissue specificity,True
SCAF8,2,D,1,,255.0,,0,,,,,0,,"Overexpressed (255 TPM, p99)",Low tissue specificity,True
SCUBE1,2,D,1,,252.6,,0,,,,,0,,"Overexpressed (253 TPM, p99)",Tissue enhanced,False
SEC14L1,2,D,1,,239.9,,0,,,,,0,,"Overexpressed (240 TPM, p99)",Low tissue specificity,True
SEC24B,2,D,1,,260.5,,0,,,,,0,,"Overexpressed (261 TPM, p99)",Low tissue specificity,True
SEC31A,2,D,1,,454.1,,0,,,,,0,,"Overexpressed (454 TPM, p100)",Low tissue specificity,True
SECISBP2L,2,D,1,,204.9,,0,,,,,0,,"Overexpressed (205 TPM, p99)",Low tissue specificity,True
SEMA3D,2,D,1,,159.3,,0,,,,,0,,"Overexpressed (159 TPM, p98)",Group enriched,False
SEPTIN11,2,D,1,,1338.9,,0,,,,,0,,"Overexpressed (1339 TPM, p100)",Low tissue specificity,True
SERPINB1,2,D,1,,175.7,,0,,,,,0,,"Overexpressed (176 TPM, p99)",Tissue enhanced,False
SERPINB10,2,D,1,YES,0.2,,0,,,,,0,,Mutated (MODERATE),Tissue enriched,False
SERPINE1,2,D,1,,184.2,,0,,,,,0,,"Overexpressed (184 TPM, p99)",Tissue enhanced,False
SESN3,2,D,1,,284.6,,0,,,,,0,,"Overexpressed (285 TPM, p99)",Tissue enhanced,False
SET,2,D,1,,165.0,,0,,,,,0,,"Overexpressed (165 TPM, p98)",Low tissue specificity,True
SETD2,2,D,1,,288.5,,0,,,,,0,,"Overexpressed (288 TPM, p99)",Low tissue specificity,True
SETX,2,D,1,,285.7,,0,,,,,0,,"Overexpressed (286 TPM, p99)",Low tissue specificity,True
